CPU%,RAM_USADA,RAM_LIVRE,RAM_TOTAL
1%,0.451847 GB,13.1747 GB,14.6125 GB
1%,0.452156 GB,13.1744 GB,14.6125 GB
1%,0.452141 GB,13.1746 GB,14.6125 GB
1%,0.452312 GB,13.1745 GB,14.6125 GB
1%,0.452389 GB,13.1744 GB,14.6125 GB
1%,0.451923 GB,13.1749 GB,14.6125 GB
1%,0.452435 GB,13.1744 GB,14.6125 GB
1%,0.452473 GB,13.1743 GB,14.6125 GB
1%,0.452232 GB,13.1745 GB,14.6125 GB
1%,0.452503 GB,13.1743 GB,14.6125 GB
1%,0.45248 GB,13.1743 GB,14.6125 GB
1%,0.452255 GB,13.1745 GB,14.6125 GB
1%,0.452309 GB,13.1747 GB,14.6125 GB
1%,0.452354 GB,13.1744 GB,14.6125 GB
1%,0.45261 GB,13.1741 GB,14.6125 GB
1%,0.452469 GB,13.1741 GB,14.6125 GB
1%,0.452778 GB,13.174 GB,14.6125 GB
1%,0.452808 GB,13.1739 GB,14.6125 GB
1%,0.452885 GB,13.1736 GB,14.6125 GB
1%,0.452991 GB,13.1738 GB,14.6125 GB
1%,0.452991 GB,13.174 GB,14.6125 GB
1%,0.452908 GB,13.1738 GB,14.6125 GB
1%,0.453278 GB,13.1735 GB,14.6125 GB
1%,0.452766 GB,13.1737 GB,14.6125 GB
1%,0.453197 GB,13.1736 GB,14.6125 GB
1%,0.452919 GB,13.1738 GB,14.6125 GB
1%,0.45319 GB,13.1733 GB,14.6125 GB
1%,0.453072 GB,13.1734 GB,14.6125 GB
1%,0.45293 GB,13.1738 GB,14.6125 GB
1%,0.452984 GB,13.1735 GB,14.6125 GB
1%,0.453293 GB,13.1735 GB,14.6125 GB
1%,0.453316 GB,13.1734 GB,14.6125 GB
1%,0.453152 GB,13.1731 GB,14.6125 GB
1%,0.453537 GB,13.1732 GB,14.6125 GB
1%,0.453747 GB,13.173 GB,14.6125 GB
1%,0.454002 GB,13.173 GB,14.6125 GB
1%,0.454002 GB,13.1727 GB,14.6125 GB
1%,0.453537 GB,13.173 GB,14.6125 GB
1%,0.453823 GB,13.1729 GB,14.6125 GB
1%,0.454445 GB,13.1723 GB,14.6125 GB
1%,0.453842 GB,13.1726 GB,14.6125 GB
1%,0.453609 GB,13.1731 GB,14.6125 GB
1%,0.454128 GB,13.1729 GB,14.6125 GB
1%,0.453911 GB,13.1728 GB,14.6125 GB
1%,0.453972 GB,13.1727 GB,14.6125 GB
1%,0.453701 GB,13.173 GB,14.6125 GB
1%,0.453205 GB,13.1732 GB,14.6125 GB
1%,0.453312 GB,13.1734 GB,14.6125 GB
1%,0.453365 GB,13.1731 GB,14.6125 GB
1%,0.453468 GB,13.173 GB,14.6125 GB
1%,0.453518 GB,13.1729 GB,14.6125 GB
1%,0.453587 GB,13.1731 GB,14.6125 GB
1%,0.453201 GB,13.1733 GB,14.6125 GB
1%,0.452934 GB,13.1733 GB,14.6125 GB
1%,0.453213 GB,13.1735 GB,14.6125 GB
1%,0.45274 GB,13.174 GB,14.6125 GB
1%,0.453213 GB,13.1735 GB,14.6125 GB
1%,0.453297 GB,13.1737 GB,14.6125 GB
1%,0.453503 GB,13.1735 GB,14.6125 GB
1%,0.45351 GB,13.1729 GB,14.6125 GB
1%,0.45364 GB,13.1733 GB,14.6125 GB
1%,0.453213 GB,13.1732 GB,14.6125 GB
1%,0.453339 GB,13.1736 GB,14.6125 GB
1%,0.45295 GB,13.1737 GB,14.6125 GB
1%,0.45277 GB,13.1739 GB,14.6125 GB
1%,0.452671 GB,13.174 GB,14.6125 GB
1%,0.452785 GB,13.1742 GB,14.6125 GB
1%,0.453655 GB,13.173 GB,14.6125 GB
1%,0.453732 GB,13.1729 GB,14.6125 GB
1%,0.453499 GB,13.1732 GB,14.6125 GB
1%,0.452839 GB,13.1737 GB,14.6125 GB
1%,0.452885 GB,13.1735 GB,14.6125 GB
1%,0.453434 GB,13.1732 GB,14.6125 GB
1%,0.453186 GB,13.1732 GB,14.6125 GB
1%,0.453201 GB,13.1735 GB,14.6125 GB
1%,0.453735 GB,13.1729 GB,14.6125 GB
1%,0.453766 GB,13.1729 GB,14.6125 GB
1%,0.453339 GB,13.1733 GB,14.6125 GB
1%,0.453121 GB,13.1736 GB,14.6125 GB
1%,0.452473 GB,13.1742 GB,14.6125 GB
1%,0.453495 GB,13.1734 GB,14.6125 GB
1%,0.45327 GB,13.1734 GB,14.6125 GB
1%,0.453617 GB,13.1728 GB,14.6125 GB
1%,0.453587 GB,13.1731 GB,14.6125 GB
1%,0.453239 GB,13.1737 GB,14.6125 GB
1%,0.453457 GB,13.1729 GB,14.6125 GB
1%,0.453812 GB,13.1731 GB,14.6125 GB
1%,0.453804 GB,13.1729 GB,14.6125 GB
1%,0.453632 GB,13.1728 GB,14.6125 GB
1%,0.453739 GB,13.1729 GB,14.6125 GB
1%,0.453613 GB,13.1728 GB,14.6125 GB
1%,0.45369 GB,13.1732 GB,14.6125 GB
1%,0.454155 GB,13.1727 GB,14.6125 GB
1%,0.453991 GB,13.1726 GB,14.6125 GB
1%,0.454178 GB,13.1725 GB,14.6125 GB
1%,0.454014 GB,13.1726 GB,14.6125 GB
1%,0.454239 GB,13.1726 GB,14.6125 GB
1%,0.454201 GB,13.1722 GB,14.6125 GB
1%,0.454517 GB,13.1721 GB,14.6125 GB
1%,0.454525 GB,13.1721 GB,14.6125 GB
1%,0.453991 GB,13.1726 GB,14.6125 GB
1%,0.454269 GB,13.1724 GB,14.6125 GB
1%,0.454624 GB,13.1725 GB,14.6125 GB
1%,0.454498 GB,13.1721 GB,14.6125 GB
1%,0.45504 GB,13.1713 GB,14.6125 GB
1%,0.454567 GB,13.1723 GB,14.6125 GB
1%,0.455101 GB,13.1718 GB,14.6125 GB
1%,0.454506 GB,13.1719 GB,14.6125 GB
1%,0.454334 GB,13.1723 GB,14.6125 GB
1%,0.454514 GB,13.1721 GB,14.6125 GB
1%,0.454868 GB,13.1715 GB,14.6125 GB
1%,0.454628 GB,13.172 GB,14.6125 GB
1%,0.454464 GB,13.1719 GB,14.6125 GB
1%,0.454163 GB,13.1725 GB,14.6125 GB
1%,0.454025 GB,13.1726 GB,14.6125 GB
1%,0.453861 GB,13.1725 GB,14.6125 GB
1%,0.454456 GB,13.1721 GB,14.6125 GB
1%,0.454216 GB,13.1724 GB,14.6125 GB
1%,0.454281 GB,13.1723 GB,14.6125 GB
1%,0.454063 GB,13.1725 GB,14.6125 GB
1%,0.454395 GB,13.172 GB,14.6125 GB
1%,0.45451 GB,13.1721 GB,14.6125 GB
1%,0.454742 GB,13.1719 GB,14.6125 GB
1%,0.454937 GB,13.1717 GB,14.6125 GB
1%,0.454689 GB,13.1719 GB,14.6125 GB
1%,0.454674 GB,13.1717 GB,14.6125 GB
1%,0.45517 GB,13.1714 GB,14.6125 GB
1%,0.45472 GB,13.1716 GB,14.6125 GB
1%,0.454216 GB,13.1724 GB,14.6125 GB
1%,0.453526 GB,13.1728 GB,14.6125 GB
1%,0.453369 GB,13.173 GB,14.6125 GB
1%,0.453949 GB,13.1727 GB,14.6125 GB
1%,0.453941 GB,13.1724 GB,14.6125 GB
1%,0.453011 GB,13.1736 GB,14.6125 GB
1%,0.453278 GB,13.1733 GB,14.6125 GB
1%,0.453819 GB,13.173 GB,14.6125 GB
1%,0.453701 GB,13.1729 GB,14.6125 GB
1%,0.45422 GB,13.1724 GB,14.6125 GB
1%,0.45425 GB,13.1723 GB,14.6125 GB
1%,0.454033 GB,13.1725 GB,14.6125 GB
1%,0.4538 GB,13.1728 GB,14.6125 GB
1%,0.45414 GB,13.1724 GB,14.6125 GB
1%,0.454605 GB,13.172 GB,14.6125 GB
1%,0.454472 GB,13.1716 GB,14.6125 GB
1%,0.454464 GB,13.1721 GB,14.6125 GB
1%,0.453991 GB,13.1723 GB,14.6125 GB
1%,0.454185 GB,13.1724 GB,14.6125 GB
1%,0.454544 GB,13.172 GB,14.6125 GB
1%,0.454426 GB,13.1721 GB,14.6125 GB
1%,0.454735 GB,13.1713 GB,14.6125 GB
1%,0.454308 GB,13.1722 GB,14.6125 GB
1%,0.453983 GB,13.1726 GB,14.6125 GB
1%,0.453976 GB,13.1726 GB,14.6125 GB
1%,0.454193 GB,13.1723 GB,14.6125 GB
1%,0.454239 GB,13.1723 GB,14.6125 GB
1%,0.454006 GB,13.1726 GB,14.6125 GB
1%,0.45295 GB,13.1736 GB,14.6125 GB
1%,0.453602 GB,13.1729 GB,14.6125 GB
1%,0.454674 GB,13.1721 GB,14.6125 GB
1%,0.454765 GB,13.1718 GB,14.6125 GB
1%,0.454849 GB,13.1717 GB,14.6125 GB
1%,0.454475 GB,13.1721 GB,14.6125 GB
1%,0.455017 GB,13.1715 GB,14.6125 GB
1%,0.462379 GB,13.1646 GB,14.6125 GB
1%,0.463135 GB,13.1634 GB,14.6125 GB
2.5%,0.463051 GB,13.1632 GB,14.6125 GB
1.9%,0.464291 GB,13.1622 GB,14.6125 GB
1.6%,0.464817 GB,13.1617 GB,14.6125 GB
1.6%,0.464771 GB,13.1617 GB,14.6125 GB
1%,0.461414 GB,13.1649 GB,14.6125 GB
1%,0.460453 GB,13.1655 GB,14.6125 GB
1%,0.460762 GB,13.166 GB,14.6125 GB
1%,0.460297 GB,13.1665 GB,14.6125 GB
1%,0.4599 GB,13.1664 GB,14.6125 GB
1%,0.459801 GB,13.1667 GB,14.6125 GB
1%,0.459351 GB,13.1669 GB,14.6125 GB
1%,0.45969 GB,13.1671 GB,14.6125 GB
1%,0.459606 GB,13.1669 GB,14.6125 GB
1%,0.460201 GB,13.1666 GB,14.6125 GB
1%,0.459427 GB,13.1671 GB,14.6125 GB
1%,0.45966 GB,13.1668 GB,14.6125 GB
1%,0.459892 GB,13.1666 GB,14.6125 GB
1%,0.460087 GB,13.1664 GB,14.6125 GB
1%,0.459583 GB,13.1666 GB,14.6125 GB
1%,0.459808 GB,13.1664 GB,14.6125 GB
1%,0.460243 GB,13.1662 GB,14.6125 GB
1%,0.459576 GB,13.1664 GB,14.6125 GB
1%,0.459644 GB,13.1668 GB,14.6125 GB
1%,0.460217 GB,13.1663 GB,14.6125 GB
1%,0.459576 GB,13.1669 GB,14.6125 GB
1%,0.459427 GB,13.1673 GB,14.6125 GB
1%,0.459953 GB,13.1665 GB,14.6125 GB
1%,0.46006 GB,13.1664 GB,14.6125 GB
2%,0.462711 GB,13.1638 GB,14.6125 GB
1.5%,0.464169 GB,13.1623 GB,14.6125 GB
1.3%,0.465408 GB,13.1618 GB,14.6125 GB
1.2%,0.464958 GB,13.1618 GB,14.6125 GB
1%,0.462013 GB,13.1643 GB,14.6125 GB
1%,0.461948 GB,13.1646 GB,14.6125 GB
1%,0.461277 GB,13.1655 GB,14.6125 GB
1%,0.461151 GB,13.1654 GB,14.6125 GB
1%,0.46067 GB,13.1658 GB,14.6125 GB
1%,0.460739 GB,13.1658 GB,14.6125 GB
1%,0.461033 GB,13.1652 GB,14.6125 GB
1%,0.461338 GB,13.1652 GB,14.6125 GB
1%,0.466953 GB,13.1632 GB,14.6125 GB
1%,0.465122 GB,13.1614 GB,14.6125 GB
1%,0.465958 GB,13.1606 GB,14.6125 GB
1%,0.466328 GB,13.1605 GB,14.6125 GB
1%,0.466591 GB,13.1599 GB,14.6125 GB
1%,0.463963 GB,13.1621 GB,14.6125 GB
1%,0.463467 GB,13.1633 GB,14.6125 GB
1%,0.463486 GB,13.1633 GB,14.6125 GB
1%,0.463013 GB,13.1635 GB,14.6125 GB
1%,0.46339 GB,13.1634 GB,14.6125 GB
1%,0.462818 GB,13.1637 GB,14.6125 GB
1%,0.463135 GB,13.1637 GB,14.6125 GB
1%,0.463226 GB,13.1636 GB,14.6125 GB
1%,0.462955 GB,13.1636 GB,14.6125 GB
1%,0.462692 GB,13.1638 GB,14.6125 GB
1%,0.462467 GB,13.1641 GB,14.6125 GB
1%,0.462475 GB,13.1638 GB,14.6125 GB
1%,0.462334 GB,13.1642 GB,14.6125 GB
1%,0.462448 GB,13.1638 GB,14.6125 GB
1%,0.474564 GB,13.1525 GB,14.6125 GB
4%,0.47049 GB,13.1559 GB,14.6125 GB
2.5%,0.470219 GB,13.1562 GB,14.6125 GB
2.8%,0.468258 GB,13.1577 GB,14.6125 GB
2.3%,0.468575 GB,13.1576 GB,14.6125 GB
2.2%,0.468895 GB,13.157 GB,14.6125 GB
1.7%,0.469967 GB,13.1562 GB,14.6125 GB
1%,0.466076 GB,13.1601 GB,14.6125 GB
1%,0.465324 GB,13.1613 GB,14.6125 GB
1%,0.464363 GB,13.1618 GB,14.6125 GB
1%,0.464176 GB,13.162 GB,14.6125 GB
1%,0.463833 GB,13.1621 GB,14.6125 GB
1%,0.463661 GB,13.1627 GB,14.6125 GB
1%,0.463184 GB,13.1627 GB,14.6125 GB
1%,0.463177 GB,13.163 GB,14.6125 GB
1%,0.463463 GB,13.1627 GB,14.6125 GB
9%,0.482944 GB,13.1434 GB,14.6125 GB
1.5%,0.468277 GB,13.1578 GB,14.6125 GB
1.3%,0.469337 GB,13.1567 GB,14.6125 GB
8.2%,0.486004 GB,13.1405 GB,14.6125 GB
1.6%,0.470638 GB,13.1556 GB,14.6125 GB
1.3%,0.470974 GB,13.1552 GB,14.6125 GB
1.6%,0.469051 GB,13.1569 GB,14.6125 GB
1.6%,0.470139 GB,13.1558 GB,14.6125 GB
1.6%,0.470287 GB,13.1556 GB,14.6125 GB
1%,0.466824 GB,13.1591 GB,14.6125 GB
1%,0.465721 GB,13.1602 GB,14.6125 GB
1%,0.465401 GB,13.1605 GB,14.6125 GB
1%,0.464512 GB,13.1614 GB,14.6125 GB
1%,0.464458 GB,13.1612 GB,14.6125 GB
1%,0.464687 GB,13.1612 GB,14.6125 GB
1%,0.464561 GB,13.1611 GB,14.6125 GB
1%,0.464321 GB,13.1614 GB,14.6125 GB
1%,0.46418 GB,13.162 GB,14.6125 GB
1%,0.464203 GB,13.1615 GB,14.6125 GB
1%,0.464752 GB,13.1614 GB,14.6125 GB
1%,0.463993 GB,13.1617 GB,14.6125 GB
1%,0.463745 GB,13.1619 GB,14.6125 GB
1%,0.464069 GB,13.1618 GB,14.6125 GB
1%,0.463966 GB,13.1617 GB,14.6125 GB
1%,0.464005 GB,13.1619 GB,14.6125 GB
1%,0.464043 GB,13.1619 GB,14.6125 GB
1%,0.464523 GB,13.1614 GB,14.6125 GB
1%,0.464531 GB,13.1611 GB,14.6125 GB
1%,0.46487 GB,13.1608 GB,14.6125 GB
1%,0.465202 GB,13.1607 GB,14.6125 GB
1%,0.464653 GB,13.1612 GB,14.6125 GB
1%,0.464314 GB,13.1616 GB,14.6125 GB
1%,0.464123 GB,13.1615 GB,14.6125 GB
1%,0.46376 GB,13.1622 GB,14.6125 GB
1%,0.463669 GB,13.1622 GB,14.6125 GB
10%,0.484818 GB,13.1413 GB,14.6125 GB
7.5%,0.47644 GB,13.1494 GB,14.6125 GB
12.2%,0.494041 GB,13.1317 GB,14.6125 GB
20.7%,0.480083 GB,13.1462 GB,14.6125 GB
33.4%,0.485508 GB,13.1403 GB,14.6125 GB
30.3%,0.486244 GB,13.1393 GB,14.6125 GB
25.8%,0.481899 GB,13.1436 GB,14.6125 GB
31.8%,0.48423 GB,13.1413 GB,14.6125 GB
37%,0.486088 GB,13.1394 GB,14.6125 GB
41.9%,0.485928 GB,13.1396 GB,14.6125 GB
43.1%,0.485847 GB,13.1397 GB,14.6125 GB
44.9%,0.484909 GB,13.1406 GB,14.6125 GB
47.3%,0.486706 GB,13.1386 GB,14.6125 GB
49.6%,0.486649 GB,13.1389 GB,14.6125 GB
51.9%,0.486786 GB,13.1387 GB,14.6125 GB
52.3%,0.487339 GB,13.1382 GB,14.6125 GB
52.5%,0.489483 GB,13.136 GB,14.6125 GB
52.6%,0.488323 GB,13.1375 GB,14.6125 GB
50.2%,0.486698 GB,13.1386 GB,14.6125 GB
48.5%,0.484505 GB,13.1408 GB,14.6125 GB
48.7%,0.487694 GB,13.1378 GB,14.6125 GB
49%,0.487141 GB,13.1384 GB,14.6125 GB
48%,0.486248 GB,13.1393 GB,14.6125 GB
46.8%,0.485649 GB,13.1399 GB,14.6125 GB
44.9%,0.485394 GB,13.1401 GB,14.6125 GB
44.3%,0.486462 GB,13.139 GB,14.6125 GB
44.6%,0.487988 GB,13.1375 GB,14.6125 GB
45.5%,0.491302 GB,13.1342 GB,14.6125 GB
46.6%,0.490818 GB,13.1347 GB,14.6125 GB
45.2%,0.490414 GB,13.1353 GB,14.6125 GB
45.4%,0.48996 GB,13.1358 GB,14.6125 GB
46.2%,0.492355 GB,13.1331 GB,14.6125 GB
46.3%,0.491962 GB,13.1335 GB,14.6125 GB
46.1%,0.489941 GB,13.1356 GB,14.6125 GB
45.9%,0.489433 GB,13.136 GB,14.6125 GB
46.4%,0.491264 GB,13.134 GB,14.6125 GB
47.2%,0.491329 GB,13.1342 GB,14.6125 GB
47.9%,0.493034 GB,13.1327 GB,14.6125 GB
48.3%,0.493 GB,13.1322 GB,14.6125 GB
48.6%,0.493141 GB,13.1323 GB,14.6125 GB
49%,0.493698 GB,13.1318 GB,14.6125 GB
49.3%,0.494072 GB,13.1309 GB,14.6125 GB
49.5%,0.494198 GB,13.1313 GB,14.6125 GB
49.1%,0.492821 GB,13.1326 GB,14.6125 GB
48.8%,0.492828 GB,13.1326 GB,14.6125 GB
48.2%,0.490921 GB,13.1345 GB,14.6125 GB
47.6%,0.489338 GB,13.1361 GB,14.6125 GB
47%,0.489395 GB,13.1361 GB,14.6125 GB
46.5%,0.489323 GB,13.1361 GB,14.6125 GB
46.6%,0.494469 GB,13.131 GB,14.6125 GB
47%,0.494846 GB,13.1306 GB,14.6125 GB
47.2%,0.494453 GB,13.131 GB,14.6125 GB
47.8%,0.494473 GB,13.131 GB,14.6125 GB
47.8%,0.493015 GB,13.1324 GB,14.6125 GB
47.2%,0.490345 GB,13.1351 GB,14.6125 GB
46.9%,0.493256 GB,13.1324 GB,14.6125 GB
47.5%,0.493454 GB,13.132 GB,14.6125 GB
47.6%,0.492992 GB,13.1326 GB,14.6125 GB
1%,0.486305 GB,13.1392 GB,14.6125 GB
32%,0.493259 GB,13.1322 GB,14.6125 GB
24.3%,0.496235 GB,13.1292 GB,14.6125 GB
29.9%,0.496395 GB,13.1288 GB,14.6125 GB
32.8%,0.496284 GB,13.1292 GB,14.6125 GB
36%,0.496254 GB,13.1292 GB,14.6125 GB
37.5%,0.497284 GB,13.1279 GB,14.6125 GB
38.4%,0.497784 GB,13.1277 GB,14.6125 GB
38.9%,0.498066 GB,13.1271 GB,14.6125 GB
40.6%,0.495354 GB,13.1303 GB,14.6125 GB
41.8%,0.495285 GB,13.1304 GB,14.6125 GB
43.1%,0.494789 GB,13.1306 GB,14.6125 GB
44.1%,0.494843 GB,13.1303 GB,14.6125 GB
44.7%,0.495625 GB,13.1301 GB,14.6125 GB
43.4%,0.496826 GB,13.1286 GB,14.6125 GB
42.1%,0.496918 GB,13.1288 GB,14.6125 GB
41.5%,0.497803 GB,13.1276 GB,14.6125 GB
40.8%,0.497551 GB,13.1279 GB,14.6125 GB
40.3%,0.496983 GB,13.1279 GB,14.6125 GB
40.4%,0.49509 GB,13.1303 GB,14.6125 GB
41.2%,0.49551 GB,13.1299 GB,14.6125 GB
42.1%,0.49638 GB,13.129 GB,14.6125 GB
42.7%,0.496143 GB,13.129 GB,14.6125 GB
43.5%,0.496693 GB,13.1287 GB,14.6125 GB
44%,0.496891 GB,13.1285 GB,14.6125 GB
44.3%,0.497467 GB,13.1279 GB,14.6125 GB
44.9%,0.497868 GB,13.1275 GB,14.6125 GB
45.3%,0.497078 GB,13.1283 GB,14.6125 GB
45.7%,0.497551 GB,13.1276 GB,14.6125 GB
46.1%,0.497414 GB,13.1282 GB,14.6125 GB
46.6%,0.497154 GB,13.1283 GB,14.6125 GB
47%,0.497845 GB,13.1278 GB,14.6125 GB
47.2%,0.498417 GB,13.127 GB,14.6125 GB
46.1%,0.498501 GB,13.1269 GB,14.6125 GB
46.5%,0.498081 GB,13.1273 GB,14.6125 GB
46.8%,0.498264 GB,13.1271 GB,14.6125 GB
47.1%,0.497707 GB,13.1274 GB,14.6125 GB
47.4%,0.497444 GB,13.1279 GB,14.6125 GB
47.7%,0.4981 GB,13.1273 GB,14.6125 GB
47.9%,0.498264 GB,13.1271 GB,14.6125 GB
48.1%,0.498341 GB,13.1273 GB,14.6125 GB
48.3%,0.498169 GB,13.1272 GB,14.6125 GB
48.5%,0.498554 GB,13.1266 GB,14.6125 GB
48.7%,0.498898 GB,13.1263 GB,14.6125 GB
48.9%,0.499317 GB,13.1256 GB,14.6125 GB
49.1%,0.499908 GB,13.1255 GB,14.6125 GB
49.3%,0.500168 GB,13.1255 GB,14.6125 GB
49.5%,0.50021 GB,13.1252 GB,14.6125 GB
49.7%,0.500656 GB,13.1247 GB,14.6125 GB
49.7%,0.501053 GB,13.1241 GB,14.6125 GB
49.9%,0.500927 GB,13.1244 GB,14.6125 GB
50.1%,0.500412 GB,13.1247 GB,14.6125 GB
50.1%,0.501293 GB,13.1243 GB,14.6125 GB
50.3%,0.500965 GB,13.1246 GB,14.6125 GB
50.4%,0.499969 GB,13.1251 GB,14.6125 GB
50.5%,0.500317 GB,13.125 GB,14.6125 GB
50.5%,0.500526 GB,13.1246 GB,14.6125 GB
50.3%,0.502884 GB,13.1225 GB,14.6125 GB
25.4%,0.500412 GB,13.1252 GB,14.6125 GB
4%,0.489086 GB,13.1365 GB,14.6125 GB
2.5%,0.487587 GB,13.1378 GB,14.6125 GB
1.9%,0.486908 GB,13.1385 GB,14.6125 GB
1.7%,0.486805 GB,13.1389 GB,14.6125 GB
1%,0.483589 GB,13.1421 GB,14.6125 GB
1%,0.482616 GB,13.1426 GB,14.6125 GB
1%,0.482456 GB,13.143 GB,14.6125 GB
1%,0.482132 GB,13.143 GB,14.6125 GB
1%,0.481499 GB,13.1437 GB,14.6125 GB
1%,0.481129 GB,13.1443 GB,14.6125 GB
1%,0.480846 GB,13.1446 GB,14.6125 GB
1%,0.4804 GB,13.1448 GB,14.6125 GB
1%,0.480354 GB,13.1448 GB,14.6125 GB
1%,0.480492 GB,13.1449 GB,14.6125 GB
1%,0.480034 GB,13.1451 GB,14.6125 GB
1%,0.480228 GB,13.1452 GB,14.6125 GB
1%,0.480583 GB,13.1448 GB,14.6125 GB
1%,0.48032 GB,13.1448 GB,14.6125 GB
1%,0.480156 GB,13.1452 GB,14.6125 GB
1%,0.48024 GB,13.1452 GB,14.6125 GB
1%,0.480061 GB,13.1451 GB,14.6125 GB
1%,0.480068 GB,13.1451 GB,14.6125 GB
1%,0.479691 GB,13.1457 GB,14.6125 GB
1%,0.479939 GB,13.1457 GB,14.6125 GB
1%,0.479969 GB,13.1457 GB,14.6125 GB
1%,0.480442 GB,13.145 GB,14.6125 GB
1%,0.480209 GB,13.1452 GB,14.6125 GB
1%,0.480019 GB,13.1454 GB,14.6125 GB
1%,0.479939 GB,13.1457 GB,14.6125 GB
1%,0.480198 GB,13.1452 GB,14.6125 GB
1%,0.480034 GB,13.1454 GB,14.6125 GB
1%,0.480213 GB,13.1452 GB,14.6125 GB
1%,0.479855 GB,13.1455 GB,14.6125 GB
1%,0.479721 GB,13.1457 GB,14.6125 GB
1%,0.479801 GB,13.1458 GB,14.6125 GB
1%,0.47451 GB,13.1506 GB,14.6125 GB
1%,0.474308 GB,13.1511 GB,14.6125 GB
0.9%,0.474037 GB,13.1513 GB,14.6125 GB
0.9%,0.474174 GB,13.1512 GB,14.6125 GB
0.9%,0.473587 GB,13.1515 GB,14.6125 GB
1%,0.474075 GB,13.1513 GB,14.6125 GB
1%,0.474758 GB,13.1511 GB,14.6125 GB
1%,0.474285 GB,13.1508 GB,14.6125 GB
1%,0.473881 GB,13.1517 GB,14.6125 GB
1%,0.473648 GB,13.1515 GB,14.6125 GB
1%,0.473934 GB,13.1514 GB,14.6125 GB
0.9%,0.47398 GB,13.1514 GB,14.6125 GB
0.9%,0.473415 GB,13.1517 GB,14.6125 GB
0.9%,0.474258 GB,13.1516 GB,14.6125 GB
0.9%,0.474621 GB,13.1507 GB,14.6125 GB
0.9%,0.47398 GB,13.1514 GB,14.6125 GB
0.9%,0.473793 GB,13.1511 GB,14.6125 GB
0.9%,0.473717 GB,13.1516 GB,14.6125 GB
1%,0.474022 GB,13.1511 GB,14.6125 GB
1%,0.473915 GB,13.1515 GB,14.6125 GB
1%,0.474411 GB,13.1507 GB,14.6125 GB
0.9%,0.47448 GB,13.1506 GB,14.6125 GB
0.9%,0.474331 GB,13.1508 GB,14.6125 GB
0.9%,0.473915 GB,13.1514 GB,14.6125 GB
0.9%,0.473705 GB,13.1516 GB,14.6125 GB
0.9%,0.47366 GB,13.1517 GB,14.6125 GB
0.9%,0.474201 GB,13.1509 GB,14.6125 GB
0.9%,0.473999 GB,13.1514 GB,14.6125 GB
0.9%,0.473736 GB,13.1514 GB,14.6125 GB
0.9%,0.474411 GB,13.1512 GB,14.6125 GB
0.9%,0.474045 GB,13.1513 GB,14.6125 GB
0.9%,0.473984 GB,13.1511 GB,14.6125 GB
0.9%,0.474442 GB,13.1511 GB,14.6125 GB
0.9%,0.474575 GB,13.1505 GB,14.6125 GB
0.9%,0.474358 GB,13.1508 GB,14.6125 GB
0.9%,0.474808 GB,13.1505 GB,14.6125 GB
0.9%,0.47435 GB,13.151 GB,14.6125 GB
0.9%,0.474171 GB,13.1511 GB,14.6125 GB
0.9%,0.474434 GB,13.1509 GB,14.6125 GB
0.9%,0.474701 GB,13.1506 GB,14.6125 GB
0.9%,0.47374 GB,13.1516 GB,14.6125 GB
0.9%,0.473282 GB,13.1523 GB,14.6125 GB
0.9%,0.473289 GB,13.152 GB,14.6125 GB
0.9%,0.473515 GB,13.1517 GB,14.6125 GB
0.9%,0.473988 GB,13.1515 GB,14.6125 GB
0.9%,0.474026 GB,13.151 GB,14.6125 GB
0.9%,0.474041 GB,13.1509 GB,14.6125 GB
0.9%,0.473923 GB,13.1511 GB,14.6125 GB
0.9%,0.474503 GB,13.151 GB,14.6125 GB
0.9%,0.47403 GB,13.151 GB,14.6125 GB
0.9%,0.474102 GB,13.1509 GB,14.6125 GB
0.9%,0.474087 GB,13.1511 GB,14.6125 GB
0.9%,0.47374 GB,13.1515 GB,14.6125 GB
0.9%,0.474342 GB,13.1511 GB,14.6125 GB
0.9%,0.474148 GB,13.1511 GB,14.6125 GB
0.9%,0.474194 GB,13.1511 GB,14.6125 GB
0.9%,0.474182 GB,13.1508 GB,14.6125 GB
0.9%,0.479828 GB,13.1444 GB,14.6125 GB
0.9%,0.47411 GB,13.1502 GB,14.6125 GB
0.9%,0.473782 GB,13.1505 GB,14.6125 GB
0.9%,0.473549 GB,13.1502 GB,14.6125 GB
0.9%,0.473999 GB,13.1505 GB,14.6125 GB
0.9%,0.474419 GB,13.1498 GB,14.6125 GB
0.9%,0.474224 GB,13.1503 GB,14.6125 GB
0.9%,0.474186 GB,13.1501 GB,14.6125 GB
0.9%,0.473782 GB,13.1505 GB,14.6125 GB
0.9%,0.474045 GB,13.1505 GB,14.6125 GB
0.9%,0.474007 GB,13.1505 GB,14.6125 GB
11.9%,0.502155 GB,13.122 GB,14.6125 GB
20.4%,0.490768 GB,13.1331 GB,14.6125 GB
29.4%,0.491055 GB,13.1331 GB,14.6125 GB
35.6%,0.490925 GB,13.1332 GB,14.6125 GB
37.7%,0.491394 GB,13.1328 GB,14.6125 GB
57.2%,0.544922 GB,13.0798 GB,14.6125 GB
54.7%,0.507454 GB,13.1161 GB,14.6125 GB
61.7%,0.509617 GB,13.1142 GB,14.6125 GB
66.4%,0.510494 GB,13.1136 GB,14.6125 GB
